Country Name,Country Code,Region,year,Access to electricity (% of pop),Agricultural land (% of land area),Agricultural raw materials exports (% ),Agricultural raw materials imports (%),Agriculture value added (% of GDP),Arable land (% of land area),"Death rate, crude (per 1,000 people)",Employment in agriculture (% of total employment),Livestock production index,Mineral rents (% of GDP),Population,Rural population (% of total population),GDP per capita (US$)
Angola,AGO,Africa,2017-01-01,41.96289444,46.524563979130434,0.065110866,1.059818638,10.01699591,2.936447874304348,8.432,50.55799866,107.9004347826087,0.0,29816748.0,35.161,4095.812942
Angola,AGO,Africa,2018-01-01,43.25925827,46.524563979130434,0.336870075,0.997551852,8.607741762,2.936447874304348,8.19,50.51800156,107.9004347826087,0.0,30809762.0,34.486,3289.646664
Arab World,ARB,North America,1999-01-01,78.9808612,36.32958095,0.639124083,1.608958992,8.879529863,3.623537005,6.543401604,30.58589987,81.75188623,0.054294619,276393837.0,47.25915169,2332.798104
Arab World,ARB,North America,2000-01-01,78.4793637,36.31059636,0.397323787,1.585755691,7.463832662,3.544323311,6.440959176,30.79229037,86.24618309,0.057383564,282344154.0,47.0106978,2606.076582
Arab World,ARB,North America,2001-01-01,80.02304688,36.30658227,0.407799779,1.500302769,7.898864089,3.526994203,6.348609539,29.99978016,87.24526232,0.063184738,288432163.0,46.74855564,2510.261947
Arab World,ARB,North America,2002-01-01,77.99911116,36.36950821,0.610103014,1.757652138,7.767901471,3.556027357,6.262574217,29.27247261,91.42190068,0.064646331,294665185.0,46.48437616,2476.696029
Arab World,ARB,North America,2004-01-01,79.53718399,36.48436202,0.542218511,1.812663962,6.754306137,3.530889992,6.094491712,29.28328931,97.73100246,0.05596091,307862843.0,45.89441948,3134.673534
Arab World,ARB,North America,2005-01-01,80.57472755,36.54050096,0.308394999,1.400055835,6.125923952,3.533503613,6.009849563,28.30196141,102.4320352,0.080283625,314965793.0,45.52969045,3765.820496
Arab World,ARB,North America,2007-01-01,82.92687844,36.49416292,0.133741234,1.146943528,5.444067951,3.471575515,5.848556688,26.83738969,108.9463189,0.144714214,330290716.0,44.85092428,4963.541521
Arab World,ARB,North America,2008-01-01,83.6449921,36.41295443,0.134159337,1.102386535,4.637349616,3.389417375,5.78020753,26.05415303,111.0678203,0.554626331,338395961.0,44.42092426,6146.391727
Arab World,ARB,North America,2010-01-01,86.95999096,36.42599021,0.249869012,1.433908923,5.475373302,3.370784869,5.681657407,23.66508384,115.5755486,0.300317047,354890042.0,43.55912081,5934.290684
Arab World,ARB,North America,2012-01-01,87.51226024,36.47229995,0.39192163,1.065977074,4.952701152,3.406267752,5.60853393,22.47987066,106.5256653,0.419814166,371443547.0,42.90146256,7465.151651
Arab World,ARB,North America,2013-01-01,88.12988133,36.53450274,0.135734099,0.950558231,5.037117731,3.439772269,5.571310947,22.33943439,107.1179237,0.307289843,379705717.0,42.59906151,7519.80826
Arab World,ARB,North America,2014-01-01,87.27532251,36.60747488,0.156235334,0.96425919,5.143139366,3.505568577,5.532235221,22.19067294,108.4702628,0.256111348,387907747.0,42.30751987,7457.461109
Argentina,ARG,South America,2001-01-01,95.51106347,46.99326559,1.618177593,1.508561674,4.568589609,10.13852501,7.83,0.833000004,87.33,0.06318969,37275652.0,10.671,7208.371567
Argentina,ARG,South America,2002-01-01,96.10791016,47.0312677,1.557061672,2.403061912,10.20664671,10.18091198,7.815,0.98299998,83.03,0.178287083,37681749.0,10.49,2593.40415
Argentina,ARG,South America,2003-01-01,96.38489532,47.8254753,1.522385999,2.484842545,10.32816694,10.48109212,7.802,1.399000049,86.12,0.16915818,38087868.0,10.314,3349.806124
Argentina,ARG,South America,2004-01-01,96.63864899,49.09032444,1.635902738,1.789135261,8.36248661,11.24533652,7.788,1.496000051,93.64,0.24285511,38491972.0,10.14,4277.721351
Argentina,ARG,South America,2005-01-01,96.86739349,50.35188494,1.367110316,1.502717836,7.938754274,12.02090847,7.775,1.279000044,102.39,0.301868598,38892931.0,9.969,5109.851325
Argentina,ARG,South America,2006-01-01,97.08002472,51.56009632,1.288344519,1.475885033,6.935572291,12.7358232,7.762,1.050999999,103.96,0.6118998,39289878.0,9.8,5919.012037
Argentina,ARG,South America,2007-01-01,97.28813171,52.63036734,1.250664487,1.238235023,7.452353946,13.31279758,7.749,1.118999958,107.57,0.548750523,39684295.0,9.634,7245.448317
Argentina,ARG,South America,2008-01-01,97.5032959,52.71367966,0.984658242,1.058118275,7.318954597,12.88454301,7.735,1.195000052,107.84,0.427892389,40080160.0,9.47,9020.873098
Argentina,ARG,South America,2009-01-01,97.73710632,52.54230476,1.081750961,1.163455654,5.273623469,12.53046564,7.722,1.230999947,113.93,0.439083735,40482788.0,9.309,8225.137176
Argentina,ARG,South America,2010-01-01,98.82,53.89028352,1.225503628,1.084033537,7.132167451,13.8784444,7.708,1.273000002,101.59,0.612583023,40788453.0,9.151,10385.96443
Argentina,ARG,South America,2011-01-01,99.27869415,54.18260746,1.283908777,1.030414731,6.99873377,14.17076834,7.694,0.635999978,102.26,0.630272266,41261490.0,9.01,12848.8642
Argentina,ARG,South America,2012-01-01,99.49785614,54.53814645,0.951907123,1.02949217,5.781744207,14.52630733,7.68,0.615999997,101.63,0.610292893,41733271.0,8.879,13082.66433
Argentina,ARG,South America,2013-01-01,99.47655487,54.51804918,0.927064887,0.865039077,6.052918437,14.50621006,7.665,0.619000018,108.83,0.414056852,42202935.0,8.751,13080.25473
Argentina,ARG,South America,2014-01-01,100.0,54.33571212,1.074585336,0.886935511,6.712703514,14.323873,7.651,0.549000025,108.13,0.413199792,42669500.0,8.623,12334.79825
Argentina,ARG,South America,2015-01-01,99.82711792,54.33571212,1.026146484,0.927128463,5.156685902,14.323873,7.638,0.261000007,110.15,0.296230366,43131966.0,8.497,13789.06042
Argentina,ARG,South America,2016-01-01,99.9591217,54.33571212,1.098571333,0.874721473,6.26456582,14.323873,7.626,0.125,107.0,0.340735001,43590368.0,8.373,12790.24247
Argentina,ARG,South America,2017-01-01,100.0,49.83445126999999,1.145115151,0.827125192,5.478382229,11.649393164703703,7.616,0.059,96.21407407407408,0.301699638,44044811.0,8.251,14591.86338
Argentina,ARG,South America,2018-01-01,100.0,49.83445126999999,0.991297321,0.844784726,6.097128948,11.649393164703703,7.609,0.094999999,96.21407407407408,0.364023626,44494502.0,8.13,11683.94962
Armenia,ARM,Asia,2012-01-01,99.89702606,59.11485774,0.163721946,1.202638727,17.91268195,15.74991197,9.761,37.25,130.97,3.602219351,2884229.0,36.76,3681.857456
Armenia,ARM,Asia,2013-01-01,99.89428711,59.11485774,0.253296432,1.122178737,18.43476288,15.74288768,9.774,36.27600098,139.55,3.172924957,2897584.0,36.836,3838.185801
Armenia,ARM,Asia,2014-01-01,99.95728302,59.03406924,0.342204376,1.559608342,18.07203635,15.71829996,9.796,34.82600021,141.15,3.153034867,2912403.0,36.888,3986.231624
Armenia,ARM,Asia,2015-01-01,100.0,58.89357047,0.621009012,1.885027656,17.22312003,15.69020064,9.823,35.32899857,144.37,3.752334929,2925553.0,36.915,3607.296697
Armenia,ARM,Asia,2016-01-01,100.0,58.89708637,0.585518665,1.897394536,16.39047353,15.67966259,9.849,33.59899902,143.85,4.353483524,2936146.0,36.918,3591.829276
Armenia,ARM,Asia,2017-01-01,100.0,54.8958554155,0.597616622,1.13196634,14.99426012,15.793291205500003,9.862,31.34399986,107.505,5.695398439,2944809.0,36.897,3914.501268
Armenia,ARM,Asia,2018-01-01,100.0,54.8958554155,0.48421976,0.987954274,13.94231166,15.793291205500003,9.857,30.43600082,107.505,6.31713929,2951776.0,36.851,4220.490277
Australia,AUS,Oceania,1990-01-01,100.0,60.46119001,10.46960037,2.067395822,4.209183989,6.235111881,7.0,3.901642833464286,86.42,1.51291732,17065100.0,14.567,18211.27459
Australia,AUS,Oceania,1991-01-01,100.0,60.2650248,10.53895965,1.849172833,3.18231607,5.94873931,6.9,5.461999893,88.16,1.253314625,17284000.0,14.597,18821.47739
Australia,AUS,Oceania,1992-01-01,100.0,60.6820874,10.27801423,1.918853591,3.053451378,6.143993335,7.1,5.277999878,87.79,1.173207245,17495000.0,14.715,18569.81275
Australia,AUS,Oceania,1993-01-01,100.0,59.91512958,8.015956784,1.980978906,3.263718171,6.02684092,6.9,5.30700016,89.94,0.986009886,17667000.0,14.843,17634.25635
Australia,AUS,Oceania,1994-01-01,100.0,61.06244224,8.84753908,1.801118883,3.349171349,6.15701027,7.1,5.081999779,92.22,1.043311395,17855000.0,14.972,18046.02024
Australia,AUS,Oceania,1995-01-01,100.0,60.31370813,8.341132311,1.666331439,3.021633065,5.21940044,6.9,4.941999912,91.75,0.954511224,18072000.0,15.102,20319.63063
Australia,AUS,Oceania,1996-01-01,100.0,60.55751533,7.485201636,1.42232957,3.392159576,4.723064707,7.0,5.001999855,92.82,0.986756106,18311000.0,15.233,21861.32551
Australia,AUS,Oceania,1997-01-01,100.0,60.16427372,8.064125384,1.3374619,3.243344481,5.189982167,7.0,5.092999935,97.47,0.895179062,18517000.0,15.364,23468.59683
Australia,AUS,Oceania,1998-01-01,100.0,60.37072231,6.996185838,1.245301219,3.038954458,5.734610729,6.8,4.875,99.28,1.125671652,18711000.0,15.497,21318.96417
Australia,AUS,Oceania,1999-01-01,100.0,59.06160915,6.33633408,1.225631559,3.061400552,5.92661052,6.8,4.920000076,103.69,1.043494803,18926000.0,15.63,20533.03506
Australia,AUS,Oceania,2000-01-01,100.0,59.29213907,5.654583337,1.404396675,3.119068182,6.157530948,6.7,4.856999874,104.21,1.32284158,19153000.0,15.765,21679.24784
Australia,AUS,Oceania,2001-01-01,100.0,59.31817294,5.90487588,1.121518551,3.503359969,6.483344832,6.6,4.754000187,106.89,1.411850653,19413000.0,15.9,19490.86111
Australia,AUS,Oceania,2002-01-01,100.0,58.1856996,5.357266002,1.167338753,3.948012139,6.221964776,6.8,4.381999969,105.65,1.40385163,19651400.0,15.778,20082.48327
Australia,AUS,Oceania,2003-01-01,100.0,57.20942947,4.542726557,1.155990987,2.888533759,6.123166239,6.6,3.913000107,100.99,1.498751453,19895400.0,15.657,23447.031
Australia,AUS,Oceania,2004-01-01,100.0,57.28883277,4.307194137,1.057282318,3.062114492,6.214675293,6.5,3.737999916,97.32,1.861594987,20127400.0,15.537,30430.67644
Australia,AUS,Oceania,2005-01-01,100.0,57.94475613,3.447685235,0.949015097,2.883330027,6.430626245,6.4,3.579999924,101.47,3.033274181,20394800.0,15.418,33999.24286
Australia,AUS,Oceania,2006-01-01,100.0,56.61390469,3.055149183,0.877208466,2.726734442,6.211030551,6.4,3.431999922,101.21,4.162167885,20697900.0,15.3,36044.92281
Australia,AUS,Oceania,2007-01-01,100.0,55.38041993,3.0373365,0.867210031,2.201100136,5.745675123,6.7,3.345000029,104.36,6.173461605,20827600.0,15.178,40960.05449
Australia,AUS,Oceania,2008-01-01,100.0,54.31810786,2.059829482,0.802836364,2.338630424,5.724717858,6.7,3.306999922,101.22,6.027868263,21249200.0,15.057,49601.65671
Australia,AUS,Oceania,2009-01-01,100.0,53.24303919,1.997299409,0.723771206,2.291720397,5.937805084,6.5,3.233999968,100.65,4.193428577,21691700.0,14.937,42772.35917
Australia,AUS,Oceania,2010-01-01,100.0,51.88289965,2.235988403,0.706840651,2.197568265,5.541048905,6.5,3.230000019,97.97,6.694371227,22031750.0,14.818,52022.1256
Australia,AUS,Oceania,2011-01-01,100.0,53.32681537,2.877868199,0.641327502,2.276542366,6.206214285,6.6,2.819999933,98.16,7.154552917,22340024.0,14.7,62517.83375
Australia,AUS,Oceania,2012-01-01,100.0,52.78028715,2.918337502,0.564280008,2.254748049,6.132668602,6.6,2.802000046,99.98,5.333878786,22733465.0,14.598,68012.1479
Australia,AUS,Oceania,2013-01-01,100.0,51.62715756,2.895398386,0.598291355,2.278906495,6.016297203,6.4,2.618000031,106.09,5.997496479,23128129.0,14.498,68150.10704
Australia,AUS,Oceania,2014-01-01,100.0,52.88377179,2.579280303,0.67968218,2.216223655,6.112362183,6.6,2.801000118,106.12,5.535132449,23475686.0,14.398,62510.79117
Australia,AUS,Oceania,2015-01-01,100.0,47.63065749,2.702030451,0.716340921,2.372644114,6.004191453,6.6,2.638999939,105.98,3.832524719,23815995.0,14.299,56755.72171
Australia,AUS,Oceania,2016-01-01,100.0,48.24194425,2.940792016,0.710372722,2.403122994,5.986463894,6.6,2.619999886,102.02,4.636994302,24190907.0,14.2,49971.13146
Australia,AUS,Oceania,2017-01-01,100.0,56.66747176222222,2.633320412,0.54471841,2.70017413,5.946486953814815,6.5,2.595999956,98.88259259259259,5.336384898,24601860.0,14.096,54066.47127
Australia,AUS,Oceania,2018-01-01,100.0,56.66747176222222,2.293781883,0.612734241,2.455186282,5.946486953814815,6.3,2.617000103,98.88259259259259,4.930663025,24982688.0,13.988,57395.91947
Austria,AUT,Europe,1990-01-01,100.0,36.61782396,4.399752899,3.129466804,3.097119719,17.26810366,10.8,5.699821455178572,94.01,0.00397443,7677850.0,37.04,21680.98969
Austria,AUT,Europe,1991-01-01,100.0,36.77524706,3.691084363,2.966608667,2.81128193,17.49818358,10.8,7.714000225,95.88,0.0,7754891.0,37.311,22410.91174
Austria,AUT,Europe,1992-01-01,100.0,36.48583192,3.304252763,2.869865673,2.453334761,17.38919835,10.6,7.545000076,99.51,0.0,7840709.0,37.583,24880.16407
Austria,AUT,Europe,1993-01-01,100.0,36.31629935,3.134359998,2.706648863,2.204440982,17.18333737,10.4,7.381000042,97.37,0.0,7905633.0,37.856,24081.52781
Austria,AUT,Europe,1994-01-01,100.0,36.25696413,3.445773162,2.920311173,2.371545955,17.23177525,10.2,7.198999882,104.6,0.0,7936118.0,38.13,25646.70066
Austria,AUT,Europe,1995-01-01,100.0,36.09954102,3.311249026,3.150405118,2.158596332,17.12279002,10.2,7.335999966,97.31,0.0,7948278.0,38.404,30325.84958
Austria,AUT,Europe,1996-01-01,100.0,36.00508657,2.831208312,2.497502952,1.982470995,17.07435214,10.2,7.427999973,102.12,0.0,7959017.0,38.68,29809.07677
Austria,AUT,Europe,1997-01-01,100.0,35.89973477,2.869762523,2.513378944,1.905483443,17.02591426,10.0,6.892000198,102.71,0.0,7968041.0,38.955,26705.4786
Austria,AUT,Europe,1998-01-01,100.0,35.8428179,2.689453191,2.420199747,1.793343924,17.00169533,9.8,6.485000134,103.06,0.0,7976789.0,39.232,27361.87511
Austria,AUT,Europe,1999-01-01,100.0,35.78590399,3.13454378,2.691687233,1.722217322,16.97747639,9.8,6.232999802,103.31,0.0,7992324.0,39.509,27174.29716
Austria,AUT,Europe,2000-01-01,100.0,35.60426194,2.40750809,2.622822777,1.647300213,16.94114798,9.6,6.051000118,101.25,0.0,8011566.0,39.787,24564.45829
Austria,AUT,Europe,2001-01-01,100.0,35.3124255,2.172198838,2.352830094,1.670703396,16.79583434,9.3,5.804999828,104.85,0.0,8042293.0,40.066,24537.51426
Austria,AUT,Europe,2002-01-01,100.0,35.1441021,2.103077181,2.431157133,1.562774411,16.7716154,9.4,5.758999825,104.38,0.0,8081957.0,40.345,26401.74546
Austria,AUT,Europe,2003-01-01,100.0,34.93860475,2.105143307,2.364203794,1.491931898,16.71143169,9.5,5.504000187,98.77,0.0,8121423.0,40.625,32222.89724
Austria,AUT,Europe,2004-01-01,100.0,34.72269196,1.975846923,2.215168005,1.476474393,16.70259202,9.1,4.90199995,98.26,0.000426,8171966.0,40.906,36821.52147
Austria,AUT,Europe,2005-01-01,100.0,34.59433336,1.833585934,2.180832357,1.259399635,16.71954409,9.1,5.274000168,100.68,0.017244861,8227829.0,41.187,38403.13388
Austria,AUT,Europe,2006-01-01,100.0,34.43085552,1.762203071,2.257661626,1.303189459,16.67716095,9.0,5.243999958,101.06,0.018667292,8268641.0,41.468,40635.28182
Austria,AUT,Europe,2007-01-01,100.0,34.27184195,1.967029845,2.199021818,1.41639156,16.66303413,9.0,5.52699995,104.18,0.044980704,8295487.0,41.751,46855.77175
Austria,AUT,Europe,2008-01-01,100.0,34.02116749,1.690814205,2.05054388,1.342223027,16.57826579,9.0,5.251999855,105.06,0.052424535,8321496.0,42.034,51708.76575
Austria,AUT,Europe,2009-01-01,100.0,33.84678808,1.686009148,2.17385143,1.146817768,16.54920206,9.3,5.322000027,106.51,0.018888056,8343323.0,42.317,47963.1794
Austria,AUT,Europe,2010-01-01,100.0,33.65830719,1.816693337,2.295973461,1.267327672,16.5166961,9.2,5.212999821,108.84,0.053923172,8363404.0,42.601,46858.04327
Austria,AUT,Europe,2011-01-01,100.0,33.39712672,1.71852075,2.214950883,1.401914934,16.46782427,9.1,4.938000202,105.51,0.061076646,8391643.0,42.885,51374.95841
Austria,AUT,Europe,2012-01-01,100.0,33.13225067,1.540578043,2.128214792,1.34855139,16.4147093,9.4,4.675000191,105.55,0.041980853,8429991.0,42.853,48567.69529
Austria,AUT,Europe,2013-01-01,100.0,32.91369341,1.592907925,2.196227623,1.254721216,16.40474596,9.4,4.576000214,106.51,0.047164874,8479823.0,42.664,50716.70871
Austria,AUT,Europe,2014-01-01,100.0,32.89022473,1.510792129,2.162821459,1.200740564,16.37967577,9.2,4.836999893,106.48,0.027329088,8546356.0,42.474,51717.49594
Austria,AUT,Europe,2015-01-01,100.0,32.94172553,1.557401656,2.223877006,1.129790194,16.31181619,9.6,4.531000137,107.18,0.009484027,8642699.0,42.285,44178.04738
Austria,AUT,Europe,2016-01-01,100.0,32.35667614,1.642965236,2.148770687,1.111405884,16.29230665,9.2,4.34800005,108.27,0.012128022,8736668.0,42.095,45237.80509
Austria,AUT,Europe,2017-01-01,100.0,34.82453065592592,1.503702515,1.93420762,1.20325166,16.802608482962963,9.5,3.930000067,102.71185185185185,0.019526753,8797566.0,41.906,47549.07904
Austria,AUT,Europe,2018-01-01,100.0,34.82453065592592,1.613743516,1.94424174,1.146262156,16.802608482962963,9.5,3.694000006,102.71185185185185,0.016182107,8840521.0,41.703,51525.04643
Azerbaijan,AZE,Asia,1999-01-01,97.0,56.73659274,2.832439053,1.732222639,18.3995126,22.06517169,5.8,42.30599976,77.97,0.0,7982750.0,48.815,573.8932966
Azerbaijan,AZE,Asia,2000-01-01,98.90822245,57.38635558,2.377476406,1.663086052,16.08486467,22.10035683,5.8,41.00999832,80.62,0.0,8048600.0,48.614,655.0974326
Azerbaijan,AZE,Asia,2001-01-01,98.63769531,57.45000089,0.845394774,1.428352788,14.83745955,22.22289313,5.6,39.95000076,83.43,0.0,8111200.0,48.413,703.6838434
Azerbaijan,AZE,Asia,2002-01-01,100.0,57.4317947,1.259740665,1.158151861,13.95463918,22.23849636,5.7,40.18999863,87.4,0.000209,8171950.0,48.213,763.080638
Azerbaijan,AZE,Asia,2003-01-01,99.0275116,57.52552855,1.508987631,0.951391168,12.42566291,22.24386532,6.0,39.83599854,92.31,0.000194,8234100.0,48.012,883.6439965
Azerbaijan,AZE,Asia,2004-01-01,99.18981171,57.51523841,1.145104731,0.852554309,10.98801904,22.26509468,6.0,39.54399872,93.69,0.001889361,8306500.0,47.811,1045.009379
Azerbaijan,AZE,Asia,2005-01-01,99.32710266,57.56835347,1.033752471,1.021419698,9.147534438,22.29857187,6.2,39.31600189,100.73,0.001918445,8391850.0,47.611,1578.40239
Azerbaijan,AZE,Asia,2006-01-01,99.5,57.55291077,0.70702642,0.989562145,7.091037117,22.28178667,6.2,39.54999924,105.58,0.002066796,8484550.0,47.411,2473.081819
Azerbaijan,AZE,Asia,2007-01-01,99.56493378,57.56453273,0.623109717,1.034116864,6.540082157,22.4376419,6.3,38.54600143,111.26,0.00480004,8581300.0,47.21,3851.437869
Azerbaijan,AZE,Asia,2008-01-01,99.68865204,57.56835033,0.042726416,0.876444256,5.570891841,22.51322095,6.0,39.59000015,115.17,0.006936647,8763400.0,47.01,5574.603802
Azerbaijan,AZE,Asia,2009-01-01,99.83100891,57.57909143,0.148173494,1.005864795,6.121933065,22.68160969,5.9,38.12400055,144.62,0.016370493,8947243.0,46.81,4950.294791
Azerbaijan,AZE,Asia,2010-01-01,99.93829346,57.67034492,0.056595302,1.694357625,5.544566113,22.79447426,5.9,38.22999954,156.49,0.125942069,9054332.0,46.594,5842.805784
Azerbaijan,AZE,Asia,2011-01-01,99.9,57.69193917,0.05306518,1.999733969,5.076225951,22.81327876,5.9,37.88000107,160.31,0.151635482,9173082.0,46.363,7189.691229
Azerbaijan,AZE,Asia,2012-01-01,100.0,57.68709523,0.082188774,1.986045758,5.139769508,22.94756822,5.9,37.65000153,169.34,0.124385355,9295784.0,46.117,7496.294648
Azerbaijan,AZE,Asia,2013-01-01,100.0,57.70454009,0.087782958,2.334216721,5.36626448,23.292079,5.8,37.09999847,174.84,0.093408447,9416801.0,45.855,7875.756953
Azerbaijan,AZE,Asia,2014-01-01,100.0,57.7005469,0.080392411,0.647128571,5.319406718,23.30546974,5.8,36.75400162,175.45,0.083794264,9535079.0,45.578,7891.313147
Azerbaijan,AZE,Asia,2015-01-01,100.0,57.7017519,0.104811989,1.4986961,6.177638838,23.44095904,5.7,36.36000061,178.35,0.12346633,9649341.0,45.286,5500.310382
Azerbaijan,AZE,Asia,2016-01-01,100.0,57.73557518,0.160293158,1.452290507,5.605111775,24.18047659,5.8,36.34000015,182.41,0.167475508,9757812.0,44.979,3880.738731
Azerbaijan,AZE,Asia,2017-01-01,100.0,56.6594138024,0.298387273,1.693898656,5.607369011,22.2220916808,5.8,36.34999847,110.80879999999999,0.485266219,9854033.0,44.657,4147.089716
Azerbaijan,AZE,Asia,2018-01-01,100.0,56.6594138024,0.444154759,1.721050375,5.212380762,22.2220916808,5.8,36.25999832,110.80879999999999,0.488552429,9939771.0,44.32,4739.84171
"Bahamas, The",BHS,North America,1995-01-01,100.0,1.198801199,4.954482505,1.869271454,2.834149898,0.599400599,5.527,4.340000153,88.93,0.0,280184.0,19.039,12238.3862
"Bahamas, The",BHS,North America,1997-01-01,100.0,1.198801199,2.074554774,1.859932234,1.561818974,0.599400599,5.623,3.842000008,97.59,0.0,287358.0,18.604,22036.48411
"Bahamas, The",BHS,North America,1998-01-01,100.0,1.198801199,1.260667332,2.057017135,1.378559449,0.599400599,5.687,3.53399992,147.17,0.0,290597.0,18.389,23514.42031
"Bahamas, The",BHS,North America,1999-01-01,100.0,1.198801199,1.471258571,2.386804695,1.26759042,0.599400599,5.757,4.027999878,144.99,0.0,294062.0,18.176,26130.10182
"Bahamas, The",BHS,North America,2000-01-01,100.0,1.298701299,1.129411137,2.698717008,1.344646857,0.699300699,5.831,4.106999874,81.05,0.0,298051.0,17.993,27097.61081
"Bahamas, The",BHS,North America,2001-01-01,100.0,1.298701299,1.226456553,2.09954062,1.198629931,0.699300699,5.909,4.197999954,83.98,0.0,302618.0,17.951,27486.23677
"Bahamas, The",BHS,North America,2002-01-01,100.0,1.298701299,1.117429488,2.035328259,1.513315828,0.699300699,5.989,3.707999945,84.71,0.0,307660.0,17.908,28866.80101
